time,Strain_pin01,Strain_pin05,Status
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,50.0,0.0,0.0
1.0,51.0,0.0,0.0
2.0,394.0,0.0,0.0
2.0,141.0,0.0,0.0
2.0,68.0,0.0,0.0
2.0,54.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,51.0,0.0,0.0
3.0,51.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,53.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
4.0,53.0,0.0,0.0
4.0,52.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,50.0,0.0,0.0
4.0,50.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,52.0,0.0,0.0
5.0,53.0,0.0,0.0
5.0,53.0,0.0,0.0
5.0,54.0,0.0,0.0
5.0,54.0,0.0,0.0
5.0,54.0,0.0,0.0
6.0,54.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,50.0,0.0,0.0
6.0,50.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,51.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,50.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,52.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,54.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,53.0,0.0,0.0
8.0,53.0,0.0,0.0
8.0,53.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,50.0,0.0,0.0
8.0,50.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,52.0,0.0,0.0
9.0,52.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
10.0,53.0,0.0,0.0
10.0,53.0,0.0,0.0
10.0,52.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,50.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
